Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.536,0.535,0.535,0.538,0.537,0.5362,Hot faster,,,,
x2,1.013,1.011,1.02,1.005,1.017,1.0132,Cold faster,DIRTY CACHE,,,
x4,1.969,1.977,1.963,1.978,1.989,1.9752,Hot faster,optimizer, default_pipe,,
x8,3.923,3.824,3.84,3.849,3.845,3.8562,Hot faster,nthreads,4,,comment
x16,7.62,7.618,7.759,7.707,7.613,7.6634,Hot faster,,,,
x32,15.183,15.189,15.184,15.121,15.158,15.167,Hot faster,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.604,0.568,0.503,0.566,0.488,0.5458,,,,,
x2,0.971,1.043,1.06,0.955,1.035,1.0128,,CLEAN CACHE,,,
x4,2,1.988,1.98,1.93,2.001,1.9798,,optimizer, default_pipe,,
x8,3.931,3.854,3.879,3.837,3.909,3.882,,nthreads,4,,
x16,7.62,7.679,7.728,7.658,7.683,7.6736,,,,,
x32,15.446,15.361,15.591,15.539,15.448,15.477,,,,,
