Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.341,0.35,0.338,0.346,0.352,0.3454,,,,,
x2,0.571,0.569,0.571,0.57,0.576,0.5714,,1 PARALLEL,,,
x4,1.04,1.041,1.05,1.071,1.038,1.048,,optimizer, default_pipe,,
x8,1.976,2.002,1.997,1.982,1.985,1.9884,,nthreads,1,,comment
x16,3.864,3.894,3.843,3.874,3.856,3.8662,,,,,
x32,7.703,7.657,8.84,7.703,7.669,7.9144,,,,,
x128,31.288,31.194,31.209,31.297,31.327,31.263,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.374,0.352,0.358,0.372,0.355,0.3622,,,,,
x2,0.591,0.604,0.581,0.589,0.598,0.5926,,2 PARALLEL,,,
x4,1.06,1.067,1.057,1.064,1.075,1.0646,,optimizer, default_pipe,,
x8,1.995,2.003,2.001,2.025,1.994,2.0036,,nthreads,2,,
x16,3.906,3.873,3.88,3.87,3.912,3.8882,,,,,
x32,7.665,7.577,7.628,7.622,7.622,7.6228,,,,,
x128,30.883,30.831,30.689,30.852,30.796,30.8102,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.377,0.353,0.363,0.347,0.351,0.3582,,,,,
x2,0.62,0.6,0.588,0.583,0.582,0.5946,,4 PARALLEL,,,
x4,1.094,1.052,1.064,1.051,1.054,1.063,,optimizer, default_pipe,,
x8,1.993,1.997,1.989,1.996,1.994,1.9938,,nthreads,4,,
x16,3.993,3.849,4,3.834,3.877,3.8824,,,,,
x32,7.76,7.561,7.576,7.59,7.597,7.6168,,,,,
x128,30.921,30.813,30.659,30.694,30.683,30.754,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,0.335,0.349,0.334,0.336,0.341,0.339,,,,,
x2,0.573,0.595,0.573,0.576,0.597,0.5828,,4 PARALLEL,,,
x4,1.047,1.042,1.051,1.058,1.046,1.0488,,optimizer,sequential_pipe,,
x8,1.987,1.993,1.996,2,1.997,1.9946,,nthreads,4,,
x16,3.878,3.886,3.943,3.907,3.89,3.9008,,,,,
x32,7.71,7.694,7.691,7.698,7.704,7.6994,,,,,
x128,30.845,30.886,30.806,30.806,30.864,30.8414,,,,,
