Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,2.12,2.115,2.93,2.78,2.15,2.419,Cold faster,
x2,3.2,3.236,3.34,3.295,3.295,3.2732,Cold faster,CLEAN CACHE
x4,5.882,5.69,5.754,5.683,5.825,5.7668,Cold faster,
x8,10.595,10.956,10.811,10.604,10.738,10.7408,Hot faster,
x16,14.997,14.69,14.715,14.753,14.933,14.8176,Cold faster,
x32,29.72,28.775,28.611,28.774,28.437,28.8634,Hot faster,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,2.93,2.22,2.156,2.37,2.51,2.4372,,
x2,3.245,3.364,3.292,3.265,3.251,3.2834,,DIRTY CACHE
x4,5.808,5.915,5.877,5.848,5.793,5.8482,,
x8,10.678,10.52,10.814,10.741,10.912,10.733,,
x16,15.73,14.894,14.781,14.809,14.607,14.9642,,
x32,28.552,28.704,28.822,28.938,28.782,28.7596,,
