Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.75,0.733,0.721,0.756,0.748,0.7416,,
x2,0.668,0.649,0.737,0.622,0.738,0.6828,,Benchmark_1x
x4,0.719,0.659,0.651,0.665,0.64,0.6668,,
x8,0.734,0.627,0.746,0.661,0.639,0.6814,,
x16,0.728,0.634,0.672,0.714,0.724,0.6944,,
x32,0.674,0.627,0.661,0.65,0.668,0.656,,
x128,0.72,0.719,0.728,0.725,0.646,0.7076,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.663,0.711,0.712,0.694,0.692,0.6944,,
x2,0.682,0.687,0.684,0.685,0.679,0.6834,,Benchmark_2x
x4,0.717,0.668,0.669,0.761,0.684,0.6998,,
x8,0.655,0.639,0.654,0.728,0.648,0.6648,,
x16,0.746,0.773,0.763,0.791,0.704,0.7554,,
x32,0.706,0.719,0.67,0.794,0.674,0.7126,,
x128,0.791,0.687,0.769,0.758,0.751,0.7512,,
,,,,,,,,
,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,
x1,0.666,0.691,0.651,0.713,0.687,0.6816,,
x2,0.726,0.681,0.643,0.672,0.735,0.6914,,Benchmark_4x
x4,0.646,0.661,0.737,0.736,0.624,0.6808,,
x8,0.698,0.714,0.732,0.649,0.698,0.6982,,
x16,0.697,0.765,0.71,0.795,0.785,0.7504,,
x32,0.718,0.8,0.691,0.67,0.691,0.714,,
x128,0.776,0.832,0.828,0.811,0.868,0.823,,
