Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,3.256318,3.248682,3.268062,3.189762,3.262154,3.2449956,,,,,
x2,6.519678,6.561751,6.421157,6.38716,6.446131,6.4671754,,1 PARALLEL,,,
x4,13.011552,12.898743,13.023505,12.82939,12.899324,12.9325028,,optimizer, default_pipe,,
x8,26.592509,25.973966,26.436345,25.651002,25.852767,26.1013178,,pools,1,,comment
x16,52.818832,52.713782,53.232133,52.026024,52.011506,52.5604554,,,,,
x32,108.544578,107.12649,109.216574,105.383386,107.95083,107.6443716,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,2.727816,2.293623,2.339689,2.310656,2.300129,2.3943826,,,,,
x2,5.233681,4.558513,4.662935,4.611138,4.847116,4.7826766,,2 PARALLEL,,,
x4,10.769632,9.482274,9.565128,9.425657,9.350449,9.718628,,optimizer, default_pipe,,
x8,21.357887,18.878811,19.026114,19.314892,18.881162,19.4917732,,pools,2,,
x16,41.290088,38.546499,37.88557,38.333839,37.896639,38.790527,,,,,
x32,105.538829,103.108258,100.047017,96.606919,94.742248,100.0086542,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data Size,Rep1,Rep2,Rep3,Rep4,Rep5,AVG,,,,,
x1,1.583777,1.545641,1.522625,1.522091,1.531132,1.5410532,,,,,
x2,3.1542,3.127022,3.0774,3.101422,3.089622,3.1099332,,4 PARALLEL,,,
x4,6.429391,6.334975,6.351159,6.302209,6.312576,6.346062,,optimizer, default_pipe,,
x8,13.018451,12.639055,12.900398,12.5941,12.788037,12.7880082,,pools,4,,
x16,26.184046,25.879861,26.072525,25.961678,25.609853,25.9415926,,,,,
x32,95.146914,80.781859,73.2116,80.26931,67.597594,79.4014554,,,,,
