Incident Zip
11563
11722
11236
10309
11205
11106
11218
10452
11428
11237
11379
10803
11364
11109
11249
10012
11001
10039
11238
11385
11427
10010
11367
10038
10954
11520
10009
10470
35209
10128
11355
10464
11239
11501
11213
11518
11357
10457
10475
10000
NA
11214
11226
11224
11221
11414
11435
10011
11231
11004
10310
11229
10473
11230
14225
11216
10305
10014
11418
10280
10463
19711
10462
10001
10455
11697
11691
11368
23541
11735
11102
11422
11208
11204
07201
11232
10304
10460
10303
11429
10103
10458
11366
77056
10472
10468
10003
11207
77092
11362
10129
06901
10023
07087
11378
10451
10040
11219
11577
11692
11377
07020
11776
11201
11220
11111
10022
11209
11694
11423
11206
10002
07604
11203
11575
11222
11373
11003
11005
11433
10065
10454
07109
11372
10456
11223
10035
10107
11430
11358
11105
55164
11210
10028
11415
11040
11361
07306
11228
11747
10033
10031
10004
11217
11413
11432
10112
10069
10044
10027
10036
10471
11233
10453
10301
11530
00083
29616
11212
11417
11375
11354
11411
11788
11365
10037
70711
11716
10024
10026
11374
N/A
10025
11234
11211
11434
11360
61702
11421
92123
10029
10007
11104
11590
11416
10302
11412
11363
10312
07114
10466
11235
23502
11559
10013
10308
11225
10019
07093
10162
08807
10032
10020
10573
10048
11103
11356
11580
11797
11101
10018
07208
11436
11693
11042
10119
10034
10467
13221
10469
11549
10314
NO CL
10005
10030
10307
11419
11369
10075
10017
11370
10461
10282
02061
41042
10306
10474
10016
11426
10459
11420
11215
10281
10006
10465
10021
10153
90010
